,Unnamed: 0,user_id,song_id,listen_count,title,release,artist_name,year
1556,1556,41,1285,4,Moonlight Drive [Version 1],The Doors [40th Anniversary Mixes],The Doors,0
1557,1557,41,1286,1,Milkshake,Original Hits - Rap & Soul,Kelis,2003
1558,1558,41,1287,9,Tangerine  (Album Version),The Complete Led Zeppelin,Led Zeppelin,0
1559,1559,41,331,5,Strange Days,The Very Best Of [w/bonus tracks],The Doors,1967
1560,1560,42,1288,5,Por quererte,40:04,Efecto Mariposa,2009
1561,1561,42,1289,4,Guerrilla Monsoon Rap,Quality,Talib Kweli / Pharoahe Monch / Black Thought,2002
1562,1562,42,1290,1,Brimful Of Asha - The Norman Cook Remix (Single Version),Brimful Of Asha,Cornershop,1997
1563,1563,42,1291,3,Seven,Seven,Fever Ray,2009
1564,1564,42,1292,3,Pure Morning (Album Version),Without You I'm Nothing,Placebo,1998
1565,1565,42,1293,1,L.E.S. Artistes,17 Again - Music From The Motion Picture,Santogold,0
1566,1566,42,1294,1,Time Requiem,Time Requiem,Time Requiem,2002
1567,1567,42,1295,2,I.R.S.,Chinese Democracy,Guns N' Roses,2008
1568,1568,42,1087,2,Yeah!,Confessions,Usher Featuring Lil' Jon & Ludacris,2007
1569,1569,42,1296,2,Proceed,Do You Want More?!!!??!,The Roots,0
1570,1570,42,1297,1,Wood Beez,Cupid And Psyche '85,Scritti Politti,1998
1571,1571,42,1298,1,Prelude 12/21,DECEMBERUNDERGROUND,AFI,2006
1572,1572,42,1299,3,Daydream,Progression Progressed (The Remixes),Markus Schulz,0
1573,1573,42,1300,3,God,Speakerboxxx/The Love Below,OutKast,0
1574,1574,42,1301,7,Symphony No. 39 in E flat major K543: IV.     Allegro,Beethoven Symphony No.3 / Mozart: Symphony No.39,Scottish Chamber Orchestra/Jukka-Pekka Saraste,0
1575,1575,42,1302,1,I Can't Dance,Best Rock Anthems.....Ever!,Genesis,0
1576,1576,42,1303,1,Deepest Blue,Ministry of Sound Presents Chilled Sessions,Deepest Blue,2002
1577,1577,42,1304,7,Dust N' Bones,Live Era '87-'93,Guns N' Roses,1991
1578,1578,42,1305,1,Haunted Graffiti,The Doldrums,Ariel Pink's Haunted Graffiti,2004
1579,1579,42,1306,5,What,Eve-olution,Eve / Truth Hurts,0
1580,1580,42,1307,5,Relegate the Judge,Live Gasometer 2009,Amity in fame,2008
1581,1581,42,1308,1,Senza Una Donna (Without A Woman),Drivetime Triple Set,Zucchero / Paul Young,1991
1582,1582,42,1309,1,Dile,DIle/Provocandome/Intocable,Don Omar,2003
1583,1583,42,1310,1,For What It's Worth,The Best Of Buffalo Springfield: Retrospective,Buffalo Springfield,1967
1584,1584,43,130,1,Harder Better Faster Stronger,Discovery,Daft Punk,2007
1585,1585,43,1311,1,Ona Kasuita,Mirando el mundo al revés,Che Sudaka,2007
1586,1586,43,1312,2,I'm Not Waiting In Line,For Me_ It's You,Train,2006
1587,1587,43,95,2,Hey_ Soul Sister,Save Me_ San Francisco,Train,0
1588,1588,43,140,1,Digital Love,Ministry of Sound Presents Chilled II 1991-2009,Daft Punk,2001
1589,1589,43,1313,1,Give Me More,Just Like You,Keyshia Cole,2007
1590,1590,43,1314,5,Teenagers (Album Version),The Black Parade,My Chemical Romance,2006
1591,1591,43,1078,1,Gives You Hell,When The World Comes Down,The All-American Rejects,2008
1592,1592,43,1315,1,Non E_ Per Te_ Per Me,Alejandro Sanz 3,Alejandro Sanz,0
1593,1593,43,1316,1,Two Is Better Than One,Love Drunk,Boys Like Girls featuring Taylor Swift,2009
1594,1594,43,1317,1,Hold My Heart,Over And Underneath,Tenth Avenue North,2008
1595,1595,43,1318,2,I'm Letting Go (Album),It's Your Life EP,Francesca Battistelli,0
1596,1596,43,1319,1,Fire It Up,Welcome To The Masquerade,Thousand Foot Krutch,2009
1597,1597,43,1320,5,I Hate Pretending (Album Version),Ten Silver Drops,Secret Machines,2006
1598,1598,43,1321,2,Monster (Album Version),Awake,Skillet,2009
1599,1599,43,164,1,Technologic,Human After All,Daft Punk,2005
1600,1600,43,1322,1,I'm Not Okay (I Promise) (Live From Sessions@AOL),Life On The Murder Scene,My Chemical Romance,2006
1601,1601,43,1323,2,The Best Day,Fearless,Taylor Swift,2008
1602,1602,43,1112,3,You Belong With Me,Fearless,Taylor Swift,2008
1603,1603,43,1324,1,Breathing,No Name Face,Lifehouse,2000
1604,1604,43,1325,1,Goodbye,Exposed,Kristinia DeBarge,2009
1605,1605,43,1326,1,Bubbly,Bubbly,Colbie Caillat,2007
1606,1606,43,1327,1,For Once In My Life (Album Version),Michael Bublé,Michael Bublé,2003
1607,1607,44,1328,1,Corazon Espinado,Supernatural,Santana featuring Mana,0
1608,1608,44,1329,2,I'm Your Boogie Man,Very Best Of,KC And The Sunshine Band,1976
1609,1609,44,1330,1,With A Little Help From My Friends,With A Little Help From My Friends,Joe Cocker,1968
1610,1610,44,1331,1,Para No Verte Más,Para No Verte Más,La Mosca Tse-Tse,0
1611,1611,44,1332,5,Dance Hall,Good News For People Who Love Bad News,Modest Mouse,2004
1612,1612,44,1082,1,Karma Police,OK Computer (Collector's Edition),Radiohead,1997
1613,1613,44,1333,2,YMCA,YMCA,Village People,1991
1614,1614,44,1334,2,I've Been Thinking About You,The Very Best Of,Londonbeat,1990
1615,1615,44,1335,1,Don't Go Breaking My Heart,Rock Of The Westies,Elton John / Kiki Dee,1976
1616,1616,44,1336,1,Rock The Boat,The Best of Disco,The Hues Corporation,1973
1617,1617,44,1337,1,Nothing's Gonna Stop Us Now,Platinum & Gold Collection,Starship,1985
1618,1618,44,1338,1,Temblor,Talento De Barrio,Daddy Yankee,2008
1619,1619,44,1339,1,Baby Love,Motown's Greatest Hits,The Supremes,1964
1620,1620,44,1340,5,I Dreamt I Dwelt in Marble Halls,Celtic Woman Presents: A Celtic Journey,Meav Ni Mhaolchatha,0
1621,1621,44,1341,2,Loca,Compilado Santiago Caliente Cumbia Chilena,Chico Trujillo,2008
1622,1622,44,1342,1,It's Raining Men,Ultimate Summer BBQ,The Weather Girls,1982
1623,1623,44,1343,9,Super Freak,Street Songs,Rick James,1981
1624,1624,44,1344,1,Last Exit,Vitalogy,Pearl Jam,1994
1625,1625,44,1203,10,Relax,Maximum Joy ,Frankie Goes To Hollywood,1983
1626,1626,45,1345,1,Bittersweet,Apocalyptica,Apocalyptica,2004
1627,1627,45,96,2,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),Mozart - Eine kleine Nachtmusik,Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,0
1628,1628,45,1346,1,Ripping Flesh,Something Wykked This Way Comes,Wykked Wytch,2000
1629,1629,45,1347,1,Where I Stood (Album Version),On A Clear Night [Australian Version],Missy Higgins,0
1630,1630,45,1348,1,24,Finally Woken,Jem,2004
1631,1631,45,770,1,None Shall Pass (Main),None Shall Pass - Single,Aesop Rock,0
1632,1632,45,1349,8,Would That Make U Love Me,The Evolution of Robin Thicke,Robin Thicke,2006
1633,1633,45,1350,2,Photographs,Rated R,Rihanna / will.i.am,2009
1634,1634,45,1166,2,Rayando el sol,Eclipse,Maná,1990
1635,1635,45,1351,2,Walk It Out,Stomp the Yard,Unk,0
1636,1636,45,1352,1,Fast Forward,Chargepoint,Decadence,2009
1637,1637,45,1353,1,Engel,Sehnsucht,Rammstein,1997
1638,1638,45,1354,1,Stupid In Love,Rated R,Rihanna,2009
1639,1639,45,1355,126,Fools,Visiter,The Dodos,2008
1640,1640,45,1356,1,Sandstorm,Galaxy Dance Anthems,Darude,2000
1641,1641,45,1357,2,I'm Done,Doll Domination,The Pussycat Dolls,2008
1642,1642,45,1358,5,Under A Killing Moon,The Artist In The Ambulance,Thrice,2003
1643,1643,46,90,1,Dog Days Are Over (Radio Edit),Now That's What I Call Music! 75,Florence + The Machine,0
1644,1644,46,2,1,Entre Dos Aguas,Flamenco Para Niños,Paco De Lucia,1976
1645,1645,46,299,1,Lucky (Album Version),We Sing.  We Dance.  We Steal Things.,Jason Mraz & Colbie Caillat,0
1646,1646,46,1359,1,The Warrior's Code,Live on Lansdowne_ Boston MA,Dropkick Murphys,2005
1647,1647,46,201,1,They Might Follow You,Tiny Vipers,Tiny Vipers,2007
1648,1648,46,115,1,Clocks,A Rush Of Blood To The Head,Coldplay,2002
1649,1649,46,5,1,Learn To Fly,There Is Nothing Left To Lose,Foo Fighters,1999
1650,1650,46,845,1,Whataya Want From Me,Whataya Want From Me,Adam Lambert,2009
1651,1651,46,302,1,American Idiot [feat. Green Day & The Cast Of American Idiot] (Album Version),The Original Broadway Cast Recording 'American Idiot' Featuring Green Day,Green Day,0
1652,1652,46,1360,1,DONTTRUSTME (Explicit Album Version),DON'T TRUST ME,3OH!3,2009
1653,1653,46,1361,1,Ojalá,Al final de este viaje,Silvio Rodríguez,0
1654,1654,46,1072,1,Just Dance,Just Dance,Lady GaGa / Colby O'Donis,2008
1655,1655,46,9,2,Sehr kosmisch,Musik von Harmonia,Harmonia,0
1656,1656,46,1080,1,Love Me,My Worlds,Justin Bieber,2009
1657,1657,46,1081,1,Superman,The Eminem Show,Eminem / Dina Rae,2003
1658,1658,46,1082,1,Karma Police,OK Computer (Collector's Edition),Radiohead,1997
1659,1659,46,1362,1,Terre Promise,77 Souter'1 Vol.2,O'Rosko Raricim,0
1660,1660,46,236,1,Catch You Baby (Steve Pitron & Max Sanna Radio Edit),Catch You Baby,Lonnie Gordon,0
1661,1661,46,1083,1,Mockingbird,R&B 2006,Eminem,2004
1662,1662,46,1084,1,Te Amo,Rated R,Rihanna,2009
1663,1663,46,1086,1,That Should Be Me,My Worlds,Justin Bieber,2010
1664,1664,46,1088,1,I'm Not Calling You A Liar,Lungs,Florence + The Machine,2009
1665,1665,46,310,1,If I Had You,For Your Entertainment (Deluxe Version),Adam Lambert,2009
1666,1666,46,1363,2,Breakdown,In Between Dreams,Jack Johnson,2005
1667,1667,46,1364,1,Up,My Worlds,Justin Bieber,2010
1668,1668,46,1365,2,Shots,Party Rock,LMFAO / Lil Jon,2008
1669,1669,46,118,1,The Scientist,The Scientist,Coldplay,2002
1670,1670,46,1366,1,Eye Of The Tiger,Happy New Year!,Survivor,0
1671,1671,46,1367,1,Overboard,My Worlds,Justin Bieber / Jessica Jarrell,2010
1672,1672,46,923,1,One Step Closer (Album Version),Hybrid Theory,Linkin Park,2000
1673,1673,46,156,1,Sinisten tähtien alla,Tatsum Tisal,J. Karjalainen & Mustat Lasit,0
1674,1674,46,318,1,Here Without You,Here Without You,3 Doors Down,2002
1675,1675,46,1101,1,Rabbit Heart (Raise It Up),Rabbit Heart EP,Florence + The Machine,2009
1676,1676,46,1103,1,Hailie's Song,The Eminem Show,Eminem,2002
1677,1677,46,1104,1,I'm On A Boat,Incredibad,The Lonely Island / T-Pain,2009
1678,1678,46,322,1,Billionaire [feat. Bruno Mars]  (Explicit Album Version),Billionaire [feat. Bruno Mars],Travie McCoy,0
1679,1679,46,1368,1,The Seven Deadly Sins,Live at the Greek Theatre,Flogging Molly,2004
1680,1680,46,822,1,If It Means A Lot To You,Homesick [Special Edition],A Day To Remember,2009
1681,1681,46,29,1,The Middle,Bleed American,Jimmy Eat World,2001
1682,1682,46,328,1,Love Story,Het Beste Uit De Top 40 - 2009,Taylor Swift,2008
1683,1683,46,1369,1,Drunken Lullabies,Live at the Greek Theatre,Flogging Molly,2002
1684,1684,46,630,1,Don't Panic,Don't Panic,Coldplay,1999
1685,1685,46,122,1,Speed Of Sound,Speed Of Sound,Coldplay,2005
1686,1686,46,1117,1,Toxic,The Singles Collection,Britney Spears,2003
1687,1687,46,108,2,Drop The World,Drop The World,Lil Wayne / Eminem,0
1688,1688,46,640,1,Tighten Up,Tighten Up,The Black Keys,2010
1689,1689,46,1370,1,Johnny_ I Hardly Knew Ya,Live on Lansdowne_ Boston MA,Dropkick Murphys,0
1690,1690,46,1371,1,Better Together,In Between Dreams,Jack Johnson,2005
1691,1691,46,651,1,Howlin For You,Brothers,The Black Keys,2010
1692,1692,46,332,1,Drops Of Jupiter,Drops Of Jupiter,Train,2001
1693,1693,46,1119,1,One Less Lonely Girl,My Worlds,Justin Bieber,2009
1694,1694,46,85,1,16 Candles,16 Candles,The Crests,1988
1695,1695,46,86,2,Without Me,Without Me,Eminem,2002
1696,1696,46,966,1,Whatcha Say,Whatcha Say,Jason Derulo,2009
1697,1697,46,825,1,Time To Pretend,Time To Pretend,MGMT,2005
1698,1698,46,1372,1,Dream On,Aerosmith,Aerosmith,1973
1699,1699,46,826,1,Electric Feel,The Anthems,MGMT,2007
1700,1700,47,1373,1,"Heartbreaker/""If You Should Ever Be Lonely",The Remixes,Mariah Carey,0
1701,1701,47,89,1,Undo,Vespertine Live,Björk,2001
1702,1702,47,92,1,You're The One,If There Was A Way,Dwight Yoakam,1990
1703,1703,47,1374,1,Desenredo (G.R.E.S.Unidos Do Pau Brasil),Reencontro,Leila Pinheiro,0
1704,1704,47,1375,1,Heartbreakin' Wreck,Modbilly,The Boxmasters,2009
1705,1705,47,1376,1,Dreamlover,The Remixes,Mariah Carey,1993
1706,1706,47,783,1,Frases Mudas,El Abrazo Del Erizo,Mikel Erentxun,1995
1707,1707,47,1377,1,Coda,A Cork Tale Wake,Chris Bathgate,2006
1708,1708,47,1378,1,Searchin',Keep Your Cool,Brant Bjork,2003
1709,1709,47,109,1,Ain't Misbehavin,Summertime,Sam Cooke,0
1710,1710,47,1379,1,This Charming Man,A Lot Of Little Lies For The Sake Of One Big Truth,Stars,2000
1711,1711,48,1380,1,Deireadh An Tuath,The Celts,Enya,1987
1712,1712,48,1381,2,Flora's Secret,A Day Without Rain,Enya,2000
1713,1713,48,1382,7,Boadicea,Paint The Sky With Stars,Enya,1987
1714,1714,48,1383,4,Epona,The Celts,Enya,1987
1715,1715,48,1384,1,LoveStoned/I Think She Knows,LoveStoned/I Think She Knows Remixes,Justin Timberlake,2007
1716,1716,48,1385,1,Let's Take A Ride,Justified,Justin Timberlake,2002
1717,1717,48,1386,3,Bard Dance,The Celts,Enya,1987
1718,1718,48,1387,2,Only Time (Original Version),The Very Best Of Enya,Enya,2009
1719,1719,48,1388,4,The Memory Of Trees (Instrumental),The Memory Of Trees,Enya,1995
1720,1720,48,1389,1,Karibien,No Way Down,Air France,2006
1721,1721,48,1390,3,May It Be (Album version),The Very Best Of Enya,Enya,2009
1722,1722,48,1391,1,Million Faces (Album Version),These Streets,Paolo Nutini,2006
1723,1723,48,1392,4,To Go Beyond (II),The Celts,Enya,1987
1724,1724,48,1393,2,The Sun In The Stream,The Celts,Enya,1987
1725,1725,48,1394,1,Rock Your Body,City Sounds,Justin Timberlake,2002
1726,1726,48,861,2,Damn Girl,FutureSex/LoveSounds,Justin Timberlake;Justin Timberlake featuring will.i.am,2006
1727,1727,48,1395,3,Watermark,Watermark,Enya,1988
1728,1728,48,1396,2,On My Way Home,The Memory Of Trees,Enya,1995
1729,1729,48,1397,1,Beautiful Stranger,Celebration,Madonna,1999
1730,1730,48,1398,2,Still On My Brain,Justified,Justin Timberlake,2002
1731,1731,48,1399,4,Aldebaran,The Celts,Enya,1987
1732,1732,48,1400,3,China Roses,The Memory Of Trees,Enya,1995
1733,1733,48,1401,1,From Left To Right,Corymb,Boom Bip,2003
1734,1734,48,1402,1,Chevaliers De Sangreal,The Da Vinci Code,Hans Zimmer,2006
1735,1735,48,956,1,Pump It,Pump It,Black Eyed Peas,2005
1736,1736,48,1403,2,Until The End Of Time,Until The End Of Time - Duet with Beyonce,Justin Timberlake duet with Beyonce,2006
1737,1737,48,1049,2,What Goes Around...Comes Around,What Goes Around... Comes Around,Justin Timberlake,2007
1738,1738,48,1404,2,Loving You [Album Version],These Streets,Paolo Nutini,2006
1739,1739,48,1405,6,Storms In Africa,Watermark,Enya,1988
1740,1740,48,1406,1,LoveStoned/I Think She Knows,LoveStoned / I Think She Knows,Justin Timberlake,2007
1741,1741,48,1407,3,Anywhere Is,"Themes From ""Calmi Cuori Appassionati",Enya,1995
1742,1742,48,1408,3,Ask The Mountains,Voices,Vangelis,1997
1743,1743,48,1409,1,Losing My Ground,The Dutchess,Fergie,0
1744,1744,48,1410,1,These Streets [Album Version],Live And Acoustic,Paolo Nutini,0
1745,1745,48,1411,2,New Shoes (Album Version),New Shoes,Paolo Nutini,2006
1746,1746,48,1412,2,Walking On Sunshine,This Is... 1985,Katrina & The Waves,1985
1747,1747,48,1413,3,Wild Child,"Themes From ""Calmi Cuori Appassionati",Enya,2000
1748,1748,48,1414,3,Ebudae,Paint The Sky With Stars,Enya,1992
1749,1749,48,1415,2,Shepherd Moons (Remastered 2009),Shepherd Moons,Enya,1991
1750,1750,48,1416,2,Scream,HIStory - PAST_ PRESENT AND FUTURE - Book I,Michael Jackson,2008
1751,1751,48,1417,5,Only If,Paint The Sky With Stars,Enya,1997
1752,1752,48,1418,4,I Want Tomorrow,The Celts,Enya,1987
1753,1753,48,1419,1,The First Of Autumn,A Day Without Rain,Enya,2000
1754,1754,48,1420,2,Paint The Sky With Stars,Paint The Sky With Stars,Enya,1997
1755,1755,49,1064,1,Wish You Were Here,Morning View,Incubus,2001
1756,1756,49,1421,1,Nice To Know You,Monuments And Melodies,Incubus,2001
1757,1757,49,1422,1,Paper Wings,Siren Song Of The Counter-Culture,Rise Against,2004
1758,1758,49,1423,1,Kiss Off,Violent Femmes,Violent Femmes,1983
1759,1759,49,1424,1,Blood To Bleed,Siren Song Of The Counter-Culture,Rise Against,2004
1760,1760,49,1425,1,Heal Over,Eye To The Telescope,KT Tunstall,2004
1761,1761,50,1426,1,Such Great Heights,Grey's Anatomy Original Soundtrack,The Postal Service,2003
1762,1762,50,1427,1,The Prize,Hell Train,Soltero,0
1763,1763,50,201,1,They Might Follow You,Tiny Vipers,Tiny Vipers,2007
1764,1764,50,1428,1,Star Bodies,Twin Cinema,The New Pornographers,2005
1765,1765,50,1429,1,Accidntel Deth (Album Version),More Adventurous,Rilo Kiley,2004
1766,1766,50,1430,1,Monday Morning Cold (band),Monday Morning Cold,Erin McKeown,0
1767,1767,50,847,1,Mia,First Love,Emmy The Great,2007
1768,1768,50,1431,2,Grow Up and Blow Away,Grow Up and Blow Away,Metric,2001
1769,1769,50,1432,1,Cassius (album version),Cassius,Foals,2008
1770,1770,50,414,1,Illuminati,Ya Mama & Song For Shelter,Fatboy Slim,2002
1771,1771,50,1433,1,Prisoner Of Love,Seventh Key,Seventh Key,0
1772,1772,50,1434,1,Tuesday Moon,Everything Is,Neutral Milk Hotel,1993
1773,1773,50,1435,1,Footloose And Fancy Free,Teenager,Camera Obscura,0
1774,1774,50,1436,1,Reality Of Emptiness,The Death Campaign Project,Officer Negative,0
1775,1775,50,1437,1,It's Christmas So We'll Stop,It's Christmas So We'll Stop,Frightened Rabbit,2007
1776,1776,50,1438,1,Chemo Limo (Remastered Version),Mary Ann meets the Gravediggers and other short stories by regina spektor,Regina Spektor,0
1777,1777,50,873,1,Somebody Told Me,Hot Fuss,The Killers,2004
1778,1778,50,1439,1,Spider Cider,Six Demon Bag,Man Man,2006
1779,1779,50,1440,1,Cat Claw,Keep On Your Mean Side,The Kills,2002
1780,1780,50,1441,1,Whalebones,Rabbit Habits,Man Man,2008
1781,1781,50,1442,1,The List,Old World Underground_ Where Are You Now?,Metric,2003
1782,1782,50,1443,1,Songs Of The Season,Hell Train,Soltero,0
1783,1783,50,1444,1,Human,Clubland Summer 2009,The Killers,2008
1784,1784,50,1445,1,The Bleeding Heart Show,Twin Cinema,The New Pornographers,2005
1785,1785,50,1446,1,Swim Until You Cant See Land,The Winter of Mixed Drinks,Frightened Rabbit,2010
1786,1786,50,1447,1,I'm Not A Loser,Somery,Descendents,1982
1787,1787,50,1448,1,Bratislava,The Gulag Orkestar,Beirut,2005
1788,1788,50,1449,1,St. Apollonia,The Flying Club Cup,Beirut,2007
1789,1789,50,1450,1,The Laws Have Changed,Electric Version,The New Pornographers,2003
1790,1790,50,1451,1,Ray Gun,Ray Guns Are Not Just The Future,the bird and the bee,2009
1791,1791,50,1452,1,The Stars of Track and Field,The BBC Sessions,Belle and Sebastian,1996
1792,1792,50,680,1,It's Christmas So We'll Stop (Choir Version),It's Christmas So We'll Stop,The Pretend It's December Choir,2007
1793,1793,51,1453,1,O Hosanna,Unindian Songs: Volume 1,Pedestrian,2005
1794,1794,51,1454,2,Les derniers aventuriers,A Contresens,La Rue Ketanou,2009
1795,1795,51,1455,7,Love Comes Tumbling,Wide Awake In America,U2,1985
1796,1796,51,1456,4,Witch Doctor,Alvin & The Chipmunks / OST,Chris Classic,0
1797,1797,51,9,1,Sehr kosmisch,Musik von Harmonia,Harmonia,0
1798,1798,51,1457,7,Perdiendo El Tiempo,Grandes Exitos Vol. 2,Vilma Palma,1993
1799,1799,51,1458,1,The Sky's Ablaze,Out Come The Freaks,Was (Not Was),1981
1800,1800,52,1459,6,Nah!,Up!,Shania Twain,2002
1801,1801,52,1460,3,Me Falta El Aliento,Estopa,Estopa,1999
1802,1802,52,955,5,Sample Track 2,Dance & Hip Hop Breaks,Simon Harris,0
1803,1803,52,1461,1,Y Hubo Alguien,Contra La Corriente,Marc Anthony,1997
1804,1804,52,1462,3,Go Your Own Way (LP Version),Greatest Hits,Fleetwood Mac,1971
1805,1805,52,1463,1,Fruta Fresca,El Amor De Mi Tierra,Carlos Vives,1999
1806,1806,52,1464,4,I'll Stand by You,Le Coeur Des Hommes 2,The Pretenders,1994
1807,1807,52,1465,1,My Heart Will Go On,100 Movie Hits,Céline Dion,1997
1808,1808,52,1466,1,Sweet home Alabama,To Die For,Lynyrd Skynyrd,1974
1809,1809,52,1467,5,It's My Life,Crush,Bon Jovi,2000
1810,1810,52,1468,1,Primera Vez,Animal Nocturno,Ricardo Arjona,1992
1811,1811,53,1469,5,A Thousand Miles,Be Not Nobody,Vanessa Carlton,2002
1812,1812,53,1470,3,You And Me (Wedding Version),Old Dogs Original Soundtrack,Lifehouse,2005
1813,1813,53,92,58,You're The One,If There Was A Way,Dwight Yoakam,1990
1814,1814,53,1471,1,XRDS,Ritual Noise,Covenant,0
1815,1815,53,1472,1,I'll Do Anything (LP Version),Waiting For My Rocket To Come,Jason Mraz,2002
1816,1816,53,1473,1,Do What You Want,Master The Treadmill With OK Go,Ok Go,2005
1817,1817,53,748,2,The Fear You Won't Fall,Unclear Sky,Joshua Radin,2006
1818,1818,53,1078,1,Gives You Hell,When The World Comes Down,The All-American Rejects,2008
1819,1819,53,1347,1,Where I Stood (Album Version),On A Clear Night [Australian Version],Missy Higgins,0
1820,1820,53,1474,1,Droplets,Breakthrough,Colbie Caillat / Jason Reeves,2009
1821,1821,53,1475,1,Brimstone Landscapes,Fragmentary Evidence,Augury,2009
1822,1822,53,1476,5,The Kindness Of Strangers,The World We Live In,Radney Foster,2006
1823,1823,53,1477,5,Come Fly With Me (Album Version),Michael Bublé,Michael Bublé,2003
1824,1824,53,1478,1,Hate On Me,The Real Thing Words & Sounds Vol 3 Deluxe Edition,Jill Scott,2007
1825,1825,53,321,1,Almaz,Every Kind Of Mood,Randy Crawford,1986
1826,1826,53,330,3,Nothin' On You [feat. Bruno Mars] (Album Version),Nothin' On You [feat. Bruno Mars],B.o.B,0
1827,1827,53,1479,1,South Side (Digitally Remastered),Here Comes Louis Smith,Louis Smith,0
1828,1828,53,109,35,Ain't Misbehavin,Summertime,Sam Cooke,0
1829,1829,53,1480,9,Dream A Little Dream Of Me (Album Version),Special Delivery,Michael Bublé,2010
1830,1830,53,1466,1,Sweet home Alabama,To Die For,Lynyrd Skynyrd,1974
1831,1831,54,1481,3,The Queen of Nothing,Xs On Your Eyes,+ / - {Plus/Minus},0
1832,1832,54,1482,1,Kid A,Kid A,Radiohead,2000
1833,1833,54,1483,1,Six Days,The Private Press,DJ Shadow,2002
1834,1834,54,1484,1,Baby Boy [feat. Beyonce],Dutty Rock,Sean Paul,0
1835,1835,54,1485,6,Endless Love,Ultimate Collection (Back To Front),Lionel Richie / Diana Ross,1997
1836,1836,54,1431,6,Grow Up and Blow Away,Grow Up and Blow Away,Metric,2001
1837,1837,54,1025,3,Some Unholy War,Frank & Back to Black,Amy Winehouse,2006
1838,1838,54,1486,1,Estoy Aquí,The Remixes,Shakira,1995
1839,1839,54,1487,1,Big Big Love (Fig .2),Antidotes,Foals,2008
1840,1840,54,866,1,Superstition,Keep On Your Mean Side,The Kills,2003
1841,1841,54,1436,1,Reality Of Emptiness,The Death Campaign Project,Officer Negative,0
1842,1842,54,1488,1,Holes To Heaven,On and On,Jack Johnson,2003
1843,1843,54,869,4,Me & Mr Jones,Me & Mr Jones,Amy Winehouse,2006
1844,1844,54,1489,1,Poke,The Midnight Organ Fight,Frightened Rabbit,2008
1845,1845,54,1490,6,La Noyée,Amelie From Montmartre,Yann Tiersen,1998
1846,1846,54,1004,1,Love Is A Losing Game,Frank & Back to Black,Amy Winehouse,2006
1847,1847,54,1491,1,Do the whirlwind,Kitsuné Maison Compilation,Architecture In Helsinki,2004
1848,1848,54,1492,4,La Dispute,Amelie From Montmartre,Yann Tiersen,1998
1849,1849,54,1493,1,Third Party,Moving On,Unter Null,2010
1850,1850,54,1494,2,Addicted,Back To Black,Amy Winehouse,2006
1851,1851,54,1495,1,Sanctify Yourself,Glittering Prize 81/92,Simple Minds,1985
1852,1852,54,1496,2,The Rose,The Best Bette,Bette Midler,1979
1853,1853,54,1497,1,Prófugos,Me Verás Volver (Hits & Más),Soda Stereo,1986
1854,1854,54,1498,1,Shake A Tail Feather,Chicken Little Original Soundtrack (English Version),The Cheetah Girls,2005
1855,1855,54,578,1,Meteor,Ray Guns Are Not Just The Future,the bird and the bee,2009
1856,1856,54,1499,1,Sleepyhead,Manners,Passion Pit,2008
1857,1857,54,1500,2,Octavo Día,Shakira MTV Unplugged,Shakira,1998
1858,1858,54,1224,3,Engwish Bwudd,Six Demon Bag,Man Man,2005
1859,1859,54,1501,2,What's Up?,Total 90s,4 Non Blondes,1992
1860,1860,54,1502,1,Pojo Pojo,Café Del Mar: Volumen Cinco y Seis,Cyberfit,1998
1861,1861,54,1503,4,Love Of My Life (1993 Digital Remaster),A Night At The Opera,Queen,1975
1862,1862,54,74,2,Who's Real,The Last Kiss,Jadakiss / Swizz Beatz / OJ Da Juiceman,2009
1863,1863,54,1504,6,La Valse D'Amélie (Version Piano),Amelie From Montmartre,Yann Tiersen,2001
1864,1864,54,1231,5,Le Moulin,Amelie From Montmartre,Yann Tiersen,2001
1865,1865,54,1505,2,One More Night,Hits,Phil Collins,1985
1866,1866,54,1034,1,Just Friends,Back To Black,Amy Winehouse,2006
1867,1867,54,1506,1,Hands Up,Hell Train,Soltero,0
1868,1868,54,1507,1,I'm Not Waiting,Call the Doctor,Sleater-kinney,1996
1869,1869,55,1508,1,Adam's Song,Enema Of The State,Blink-182,1999
1870,1870,55,1509,3,Don't Cry (Original),Greatest Hits,Guns N' Roses,1991
1871,1871,55,1510,1,Something In The Way,Nevermind,Nirvana,0
1872,1872,55,1511,2,Superman (It's Not Easy),Songs From Dawson's Creek - Vol. II,Five for Fighting,2000
1873,1873,55,1232,1,Beautiful,Hotel,Moby,2005
1874,1874,55,1077,1,Livin' On A Prayer,Cross Road,Bon Jovi,1986
1875,1875,55,1512,1,Crazy,Get A Grip,Aerosmith,1993
1876,1876,55,1513,1,You're Crazy,G N' R Lies,Guns N' Roses,1987
1877,1877,55,1514,1,Drain You,Drain You,Nirvana,0
1878,1878,55,1515,1,If He Should Break Your Heart,Trial By Fire,Journey,1996
1879,1879,55,780,4,Float On,Float On,Modest Mouse,2003
1880,1880,55,160,3,Angie (1993 Digital Remaster),Jump Back - The Best Of The Rolling Stones_ '71-'93,The Rolling Stones,0
